lga_name,year,median_rent,offence_count,independent_schools,total_schools,gp_clinics_per_1000,allied_health_per_1000,dental_sites_per_1000,pharmacies_per_1000,acsc_per_1000,address,suburb,latitude,longitude,straight_line_km,driving_km
ALPINE,2017,270,454.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2018,285,580.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2018,300,580.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2018,288,580.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2018,288,580.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2019,290,571.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2019,310,571.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2019,310,571.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2019,340,571.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2020,318,582.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2020,320,582.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2020,320,582.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2020,350,582.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2021,350,552.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2021,390,552.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2021,383,552.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2021,350,552.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2022,370,459.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2022,420,459.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2022,450,459.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2022,420,459.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2023,420,521.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2023,440,521.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2023,420,521.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2023,423,521.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2024,420,414.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2024,450,414.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2024,450,414.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2024,450,414.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2025,475,555.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2025,455,555.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2025,450,555.0,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ARARAT,1999,110,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,1999,100,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,1999,105,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2000,100,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2000,100,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2000,98,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2000,100,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2001,110,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2001,108,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2001,110,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2001,110,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2002,110,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2002,120,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2002,110,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2002,113,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2003,120,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2003,120,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2003,130,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2003,120,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2004,120,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2004,120,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2004,133,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2004,130,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2005,130,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2005,140,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2005,130,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2005,140,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2006,138,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2006,135,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2006,145,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2006,140,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2007,145,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2007,145,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2007,145,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2007,160,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2008,155,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2008,150,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2008,160,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2008,155,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2009,160,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2009,160,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2009,168,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2009,170,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2010,180,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2010,180,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2010,200,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2010,170,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2011,200,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2011,213,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2011,220,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2011,210,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2012,220,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2012,210,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2012,210,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2012,220,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2013,225,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2013,250,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2013,230,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2013,220,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2014,240,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2014,230,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2014,230,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2014,240,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2015,240,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2015,233,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2015,238,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2015,250,,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2016,240,1177.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2016,235,1177.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2016,265,1177.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2016,240,1177.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2017,240,1255.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2017,240,1255.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2017,260,1255.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2017,240,1255.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2018,250,1349.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2018,260,1349.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2018,275,1349.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2018,273,1349.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2019,300,1262.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2019,270,1262.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2019,270,1262.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2019,270,1262.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2020,280,1560.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2020,280,1560.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2020,290,1560.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2020,285,1560.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2021,300,1592.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2021,290,1592.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2021,300,1592.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2021,300,1592.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2022,340,1341.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2022,325,1341.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2022,335,1341.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2022,330,1341.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2023,340,1409.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2023,343,1409.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2023,355,1409.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2023,370,1409.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2024,350,1607.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2024,360,1607.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2024,390,1607.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2024,380,1607.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2025,390,1566.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2025,375,1566.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
ARARAT,2025,390,1566.0,,12,0.5,0.9,0.3,0.4,32.4,,,,,,
BALLARAT,1999,130,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,1999,130,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,1999,135,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2000,135,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2000,135,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2000,140,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2000,140,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2001,140,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2001,140,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2001,150,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2001,150,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2002,150,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2002,160,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2002,160,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
